COMPONENTE	ANO/FAIXA	EIXO - CAMPOS DE ATUAÇÃO	UNIDADES TEMÁTICAS	OBJETOS DE CONHECIMENTO	CÓDIGO HABILIDADE	HABILIDADES	COMENTÁRIO	POSSIBILIDADES PARA O CURRÍCULO
Língua Portuguesa	6º; 7º; 8º; 9º	Campo jornalístico/midiático	Análise linguística/semiótica	Construção composicional	EF69LP16	Analisar e utilizar as formas de composição dos gêneros jornalísticos da ordem do relatar, tais como notícias (pirâmide invertida no impresso X blocos noticiosos hipertextuais e hipermidiáticos no digital, que também pode contar com imagens de vários tipos, vídeos, gravações de áudio etc.), da ordem do argumentar, tais como artigos de opinião e editorial (contextualização, defesa de tese/opinião e uso de argumentos) e das entrevistas: apresentação e contextualização do entrevistado e do tema, estrutura pergunta e resposta etc.	O foco desta habilidade está no estudo da forma de composição dos gêneros jornalísticos narrativos e argumentativos, assim como de entrevistas. Implica relacionar as formas de composição do gênero mencionadas na habilidade às especificidades do campo de atuação em que circulam, assim como aos temas e finalidades dos gêneros e às peculiaridades da mídia em que são publicadas.	Na elaboração do currículo, recomenda-se propor, ao longo dos anos, um estudo baseado na comparação entre textos do mesmo gênero e de gêneros distintos. No primeiro caso, a intenção é propiciar a compreensão do que é típico do gênero em estudo. No segundo,  pretende-se o estabelecimento de semelhanças, o que permite tanto a reiteração das características identificadas no momento anterior, quanto o reconhecimento de características específicas, o que remete às possibilidades linguístico-textuais e ao estilo do autor. O desenvolvimento da habilidade requer práticas de leitura, produção e análise de textos, nas quais seja possível relacionar as formas de composição do gênero mencionadas às especificidades do campo de atuação em que circulam,  aos temas e finalidades dos gêneros e às peculiaridades da mídia em que são publicadas. A progressão pode se dar tanto pelo modo de tratamento do conteúdo (por frequentação ou para aprofundamento) quanto pela complexidade dos textos previstos para as práticas de leitura e produção. Sugere-se um trabalho colaborativo (coletivo mediado pelo professor, e em grupo/duplas), que progrida para o autônomo.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo jornalístico/midiático	Análise linguística/semiótica	Estilo	EF69LP17	Perceber e analisar os recursos estilísticos e semióticos dos gêneros jornalísticos e publicitários, os aspectos relativos ao tratamento da informação em notícias, como a ordenação dos eventos, as escolhas lexicais, o efeito de imparcialidade do relato, a morfologia do verbo, em textos noticiosos e argumentativos, reconhecendo marcas de pessoa, número, tempo, modo, a distribuição dos verbos nos gêneros textuais (por exemplo, as formas de pretérito em relatos; as formas de presente e futuro em gêneros argumentativos; as formas de imperativo em gêneros publicitários), o uso de recursos persuasivos em textos argumentativos diversos (como a elaboração do título, escolhas lexicais, construções metafóricas, a explicitação ou a ocultação de fontes de informação) e as estratégias de persuasão e apelo ao consumo com os recursos linguístico-discursivos utilizados (tempo verbal, jogos de palavras, metáforas, imagens).	Esta é uma habilidade bastante complexa, cujo foco são as características, o funcionamento e os recursos — linguísticos e semióticos — próprios de gêneros jornalísticos narrativos e argumentativos. Envolve, ainda, duas operações distintas e sucessivas: perceber e analisar os efeitos de sentido produzidos pelos recursos linguísticos e semióticos mencionados, assim como pelas estratégias persuasivas em jogo, de modo que se possa identificar intencionalidades variadas presentes em textos desses gêneros.	Na elaboração do currículo, convém que o desenvolvimento da atividade venha sempre associado a práticas de leitura e/ou produção de textos dos gêneros jornalísticos e publicitários previstos. É possível desmembrar a habilidade, ainda, nas duas operações implicadas (perceber/analisar), assim como nos gêneros (jornalísticos/publicitários) e/ou nos recursos linguísticos e semióticos neles envolvidos. O desenvolvimento desta habilidade só pode se fazer, de forma adequada, no interior de atividades de leitura e/ou produção de textos desses gêneros, planejadas de forma a garantir que todos os vetores referidos estejam não só contemplados, mas articulados entre si. Esses mesmos fatores podem pautar a progressão curricular, combinados com outros, como o grau de complexidade dos gêneros e textos programados e o grau de autonomia que se pretende levar o aluno a atingir em cada etapa. A sistematização e o ensino da terminologia técnica só são recomendados se ocorrerem depois da compreensão do aspecto estudado.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo jornalístico/midiático	Análise linguística/semiótica	Estilo	EF69LP18	Utilizar, na escrita/reescrita de textos argumentativos, recursos linguísticos que marquem as relações de sentido entre parágrafos e enunciados do texto e operadores de conexão adequados aos tipos de argumento e à forma de composição de textos argumentativos, de maneira a garantir a coesão, a coerência e a progressão temática nesses textos (“primeiramente, mas, no entanto, em primeiro/segundo/terceiro lugar, finalmente, em conclusão” etc.).	A habilidade envolve o uso de recursos textuais que estabeleçam relações adequadas entre as partes do texto, de modo a conferir-lhe legibilidade e tratamento adequado do conteúdo (discussão da questão polêmica, posicionamento assumido e razões apresentadas para tanto). Esta habilidade é necessária para estabelecer-se a progressão e a unidade temática — o "fio da meada" — do texto, assim como sua coesão e coerência.	Na elaboração do currículo, é importante prever situações de revisão processual e final do texto, para avaliar: (a) se as expressões utilizadas para ligar trechos do texto garantem o estabelecimento das relações necessárias para a compreensão adequada do que se quer dizer; (b) se a progressão das ideias garante que não se perca o "fio da meada" do conteúdo temático. A progressão pode se dar pela complexidade do texto e do gênero, pelo grau de autonomia do aluno ao realizar a atividade e, especialmente por se tratar de habilidade que abrange do 6º ao 9º ano, pelo tratamento dado ao conteúdo, que pode ser por frequentação ou para aprofundamento.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo jornalístico/midiático	Análise linguística/semiótica	Efeito de sentido	EF69LP19	Analisar, em gêneros orais que envolvam argumentação, os efeitos de sentido de elementos típicos da modalidade falada, como a pausa, a entonação, o ritmo, a gestualidade e expressão facial, as hesitações etc.	Trata-se de habilidade que consiste em analisar os recursos típicos da fala do ponto de vista dos efeitos de sentido que, em uma dada situação comunicativa, podem provocar sobre a argumentação pretendida. Requer a observação dos recursos linguísticos em jogo e dos efeitos de sentido que produzem em diferentes situações de comunicação.	Na elaboração do currículo, é interessante considerar que o estudo do discurso oral implica a criação de condições que o possibilitem, como: gravações em vídeo para serem analisadas; discussão coletiva a respeito das impressões de cada aluno a respeito dos efeitos de sentido produzidos pelos elementos empregados na fala; participação em situações comunicativas orais diversas, com o intuito de estudar a performance do enunciador. A progressão pode se dar: (a) pela complexidade do texto e do gênero; (b) pelo grau de autonomia do aluno ao realizar as atividades; (c) pelo tratamento dado ao conteúdo, que pode ser por frequentação ou para aprofundamento.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo de atuação na vida pública	Leitura	Reconstrução das condições de produção e circulação e adequação do texto à construção composicional e ao estilo de gênero (Lei, código, estatuto, código, regimento etc.)	EF69LP20	Identificar, tendo em vista o contexto de produção, a forma de organização dos textos normativos e legais, a lógica de hierarquização de seus itens e subitens e suas partes: parte inicial (título – nome e data – e ementa), blocos de artigos (parte, livro, capítulo, seção, subseção), artigos (caput e parágrafos e incisos) e parte final (disposições pertinentes à sua implementação) e analisar efeitos de sentido causados pelo uso de vocabulário técnico, pelo uso do imperativo, de palavras e expressões que indicam circunstâncias, como advérbios e locuções adverbiais, de palavras que indicam generalidade, como alguns pronomes indefinidos, de forma a poder compreender o caráter imperativo, coercitivo e generalista das leis e de outras formas de regulamentação.	Esta habilidade refere-se ao reconhecimento das especificidades dos textos normativos e legais, marcados por um conteúdo de caráter coercitivo ou normativo: como se organizam? que recursos linguísticos são comuns nesses gêneros de textos? Além da presença de verbos no imperativo, advérbios ou locuções, pode ser observado o uso de verbos e substantivos que trazem uma carga semântica com esse caráter, como dever/poder/ser, obrigação/direito/garantia etc.	Na elaboração do currículo, é necessário considerar que, para desenvolver esta habilidade, é importante reconhecer as especificidades da esfera jurídica em que os textos mencionados são produzidos e circulam. Seria pertinente prever, ao longo de todo o segundo segmento, um estudo sistemático e progressivo sobre o campo da vida pública: Quem são os atores envolvidos? Quais os interesses dessa esfera? Que gêneros do discurso são produzidos nessa esfera? Quais suas finalidades de contratos, leis, regulamentos, estatutos, autorização de funcionamento, medida provisória, editais, dentre outros gêneros? De modo geral, são gêneros que normatizam e regulamentam direitos e deveres do cidadão nos mais variados papéis sociais e saber ler esses textos é fundamental para a vida pública.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo de atuação na vida pública	Leitura	Apreciação e réplica	EF69LP21	Posicionar-se em relação a conteúdos veiculados em práticas não institucionalizadas de participação social, sobretudo àquelas vinculadas a manifestações artísticas, produções culturais, intervenções urbanas e práticas próprias das culturas juvenis que pretendam denunciar, expor uma problemática ou “convocar” para uma reflexão/ação, relacionando esse texto/produção com seu contexto de produção e relacionando as partes e semioses presentes para a construção de sentidos.	Esta habilidade supõe um trabalho de reconhecimento dessas práticas no entorno, na região e/ou em localidades remotas, bem como de análise das suas especificidades por meio do estudo dos recursos das diferentes linguagens em que se constituem os gêneros envolvidos, o que dará subsídios ao aluno para formar opiniões sobre seus conteúdos. Por exemplo: o grafitar, como uma prática de letramento, se caracteriza pelo quê? Que recursos utiliza e como pode usá-los para fazer a crítica?	Na elaboração do currículo, é necessário considerar que o desenvolvimento dessa habilidade pode favorecer a participação dos jovens em movimentos de bairros, centros culturais comunitários etc., que promovem práticas culturais locais que se constituem como formas de resistência e de defesa de direitos de diferentes naturezas. Exemplos dessas manifestações são os saraus, as rodas de rap ou as batalhas de slam que acontecem nas periferias, cujo objetivo é promover o direito à cultura, em que se leem poemas, crônicas e se cantam raps de autoria, com conteúdos críticos em relação a algum aspecto da realidade. É recomendável que a escola acolha, problematize e legitime essas práticas e favoreça o empoderamento dos jovens para uma atuação cada vez mais qualificada.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo de atuação na vida pública	Produção de textos	Textualização, revisão e edição	EF69LP22	Produzir, revisar e editar textos reivindicatórios ou propositivos sobre problemas que afetam a vida escolar ou da comunidade, justificando pontos de vista, reivindicações e detalhando propostas (justificativa, objetivos, ações previstas etc.), levando em conta seu contexto de produção e as características dos gêneros em questão.	Relacionada às habilidades (EF67LP19) e (EF89LP21), esta habilidade se refere à realização de uma investigação das necessidades da escola e/ou da comunidade para levantamento de questões, prioridades e problemas relevantes que levarão à produção colaborativa de textos reivindicatórios. Essa investigação fornecerá elementos para planejar ações e dará contexto para as produções de textos. As habilidades relativas à produção de textos argumentativos também são mobilizadas.	Na elaboração do currículo, pode-se considerar que a prática de reivindicar direitos ou propor soluções para problemas favorece o engajamento dos/as alunos/as em questões de interesse público, em especial do seu entorno imediato. A implantação de projetos de intervenção pode favorecer essa prática e possibilita o desenvolvimento dessa habilidade em contextos significativos para os/as alunos/as. Projetos que integrem as diferentes áreas mobilizam uma gama de conhecimentos e habilidades, potencializando aprendizagens. Como já sinalizado em outros momentos, garantir tempos e espaços para o planejamento integrado é uma forma de viabilizar a elaboração de projetos dessa natureza. Do ponto de vista didático, é indicado que os currículos contemplem um estudo das principais características dos gêneros selecionados.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo de atuação na vida pública	Produção de textos	Textualização, revisão e edição	EF69LP23	Contribuir com a escrita de textos normativos, quando houver esse tipo de demanda na escola – regimentos e estatutos de organizações da sociedade civil do âmbito da atuação das crianças e jovens (grêmio livre, clubes de leitura, associações culturais etc.) – e de regras e regulamentos nos vários âmbitos da escola – campeonatos, festivais, regras de convivência etc., levando em conta o contexto de produção e as características dos gêneros em questão.	Esta habilidade supõe a escrita colaborativa de textos normativos diretamente relacionados às práticas escolares, com seus atores previstos. Escritas dessa natureza implicam uma atuação protagonista dos/as alunos/as na apropriação do espaço escolar em diferentes dimensões e favorecem uma participação que envolve direitos e responsabilidades.	Na elaboração do currículo, recomenda-se incorporar práticas como assembleias de alunos com caráter deliberativo e formação de grupos de trabalho para organização de eventos, como os citados na descrição das habilidades. Essas práticas também favorecem vivências de leitura e de produção de textos variados, como atas de reunião, estatutos e regulamentos.Do ponto de vista didático, é indicado que os currículos contemplem um estudo das principais características dos gêneros selecionados. Há, ainda, oportunidade de trabalho interdisciplinar com a habilidade (EF67EF09), da Educação Física, no que se refere à compreensão e contribuição com textos normativos e regramentos de convívio que viabilizem a participação de todos na prática de exercícios físicos.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo de atuação na vida pública	Oralidade	Discussão oral	EF69LP24	Discutir casos, reais ou simulações, submetidos a juízo, que envolvam (supostos) desrespeitos a artigos, do ECA, do Código de Defesa do Consumidor, do Código Nacional de Trânsito, de regulamentações do mercado publicitário etc., como forma de criar familiaridade com textos legais – seu vocabulário, formas de organização, marcas de estilo etc. -, de maneira a facilitar a compreensão de leis, fortalecer a defesa de direitos, fomentar a escrita de textos normativos (se e quando isso for necessário) e possibilitar a compreensão do caráter interpretativo das leis e as várias perspectivas que podem estar em jogo.	Esta habilidade supõe a participação em situações (como discussões coletivas e em grupos, debates) em que esteja em foco analisar casos sob a ótica da legalidade e do direito. É pressuposto dessas situações o conhecimento e a compreensão de textos legais e normativos que servirão tanto para analisar o caso quanto para elaborar argumentos sólidos que apoiem a sua análise.	Na elaboração do currículo, recomenda-se que todas as situações de interação oral nesse campo (vida pública) sejam vinculadas a projetos interdisciplinares, para garantir a abordagem de maior número de documentos normativos e reguladores. Diante da lista aberta desses documentos, é possível propor projetos diferenciados para cada ano. Por exemplo, em uma discussão sobre meio ambiente e consumismo, pode-se propor a análise de uma propaganda, associando-a à leitura do Código Nacional do Consumidores, ao ECA e ao Código Brasileiro de Auto-regulamentação Publicitária. Propor exercícios de retextualização desses textos, como a reescrita de um artigo de lei em linguagem informal, pode colaborar para a  interpretação deles. É recomendável que o ECA seja um documento revisitado ao longo dos quatro anos, dada a sua relevância. Há, ainda, oportunidade de trabalho interdisciplinar com a habilidade (EF67EF09), da Educação Física, no que se refere à compreensão e contribuição com textos normativos e regramentos de convívio que viabilizam a participação de todos na prática de exercícios físicos.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo de atuação na vida pública	Oralidade	Discussão oral	EF69LP25	Posicionar-se de forma consistente e sustentada em uma discussão, assembleia, reuniões de colegiados da escola, de agremiações e outras situações de apresentação de propostas e defesas de opiniões, respeitando as opiniões contrárias e propostas alternativas e fundamentando seus posicionamentos, no tempo de fala previsto, valendo-se de sínteses e propostas claras e justificadas.	Esta habilidade supõe a participação em diferentes situações orais, em que se  espera o posicionamento crítico em relação à questão em foco. O uso de recursos linguísticos e semióticos (outras linguagens), como de palavras que explicitam a posição assumida (se de oposição ou negociação, por exemplo) e o uso de entonação que deixe em evidência a apreciação do falante em relação ao que é dito são algumas das competências mobilizadas.	Na elaboração do currículo, é interessante considerar que, em participações face a face ou a distância, mediadas pela tecnologia, em situações variadas, como discussões, participação em debates, palestras e reuniões, enquanto o outro fala, quem está na escuta analisa o que é dito e planeja uma resposta imediata. Articular essa habilidade com as que sugerem o procedimento de tomada de notas, começando por fazê-lo com material gravado, que pode ser revisto indefinidamente, para depois fazê-lo no ato da interação, favorecerá uma resposta mais qualificada de quem escuta.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo de atuação na vida pública	Oralidade	Registro	EF69LP26	Tomar nota em discussões, debates, palestras, apresentação de propostas, reuniões, como forma de documentar o evento e apoiar a própria fala (que pode se dar no momento do evento ou posteriormente, quando, por exemplo, for necessária a retomada dos assuntos tratados em outros contextos públicos, como diante dos representados).	Esta habilidade supõe o trabalho com a tomada de notas para diferentes fins: (1) para alimentar outras produções escritas com a finalidade de documentar processos e resultados de reuniões, tais como atas e notas de reunião; (2) para registro pessoal, visando a reflexão sobre o registrado; (3) como apoio à fala durante a participação em situações orais como discussões, debates, seminários.	Na elaboração do currículo, é válido levar em consideração que a tomada de notas como registro é considerada um gênero de apoio à compreensão do ouvido, assistido. Como procedimento, está vinculada a diferentes situações, em qualquer campo de atuação. É comum em práticas como debates, palestras, reuniões, aulas e suas variantes em outras mídias. Supõe a capacidade de identificar informações relevantes e sintetizá-las em notas, de modo coerente, garantindo a possibilidade de retomada das ideias pelo(a) seu(sua) autor(a). Pode ser proposta uma progressão que indique tanto a variação dos objetivos da tomada de notas, quanto a situação em que ela é solicitada — se a partir de materiais gravados ou se durante as interações (reuniões, aula etc.).
Língua Portuguesa	6º; 7º; 8º; 9º	Campo de atuação na vida pública	Análise linguística/semiótica	Análise de textos legais/normativos, propositivos e reivindicatórios	EF69LP27	Analisar a forma composicional de textos pertencentes a gêneros normativos/ jurídicos e a gêneros da esfera política, tais como propostas, programas políticos (posicionamento quanto a diferentes ações a serem propostas, objetivos, ações previstas etc.), propaganda política (propostas e sua sustentação, posicionamento quanto a temas em discussão) e textos reivindicatórios: cartas de reclamação, petição (proposta, suas justificativas e ações a serem adotadas) e suas marcas linguísticas, de forma a incrementar a compreensão de textos pertencentes a esses gêneros e a possibilitar a produção de textos mais adequados e/ou fundamentados quando isso for requerido.	Trata-se de habilidade de leitura para estudo das especificidades dos textos normativos jurídicos e reivindicatórios, visando à produção de textos dessa natureza, essenciais para a vida pública, especialmente em situações de defesa ou de debates sobre direitos do cidadão. Supõe-se o estudo desses gêneros no que diz respeito ao conteúdo — como pode se organizar e ser construído com os recursos linguísticos adequados, tendo em vista os objetivos pretendidos.	Na elaboração do currículo, é recomendável que o desenvolvimento de leitura e produção de textos dessa natureza tenha como contexto inicial as produções e questões locais. Já que esta habilidade é proposta para todos os anos, é possível, por exemplo, prever uma progressão para que a cada ano se abordem programas políticos de uma esfera diferente. Também para os textos reivindicatórios, é possível selecionar um gênero para cada ano, procurando articulá-los aos textos normativos jurídicos  trabalhados. Por exemplo, a petição pode estar associada a um trabalho com propostas e programas políticos de partidos que estão no poder: depois de analisar um programa político, pode-se chegar à constatação de que é necessário organizar uma petição pública para exercer pressão junto aos governantes quanto a alguma ação prometida e não cumprida, de acordo com o programa político. Cabe enfatizar, ainda, que a natureza dos textos reivindicatórios mobilizará habilidades propostas no campo jornalístico/midiático, visto que esses textos supõem o uso da argumentação.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo de atuação na vida pública	Análise linguística/semiótica	Modalização	EF69LP28	Observar os mecanismos de modalização adequados aos textos jurídicos, as modalidades deônticas, que se referem ao eixo da conduta (obrigatoriedade/permissibilidade) como, por exemplo: Proibição: “Não se deve fumar em recintos fechados.”; Obrigatoriedade: “A vida tem que valer a pena.”; Possibilidade: “É permitido a entrada de menores acompanhados de adultos responsáveis”, e os mecanismos de modalização adequados aos textos políticos e propositivos, as modalidades apreciativas, em que o locutor exprime um juízo de valor (positivo ou negativo) acerca do que enuncia. Por exemplo: “Que belo discurso!”, “Discordo das escolhas de Antônio.” “Felizmente, o buraco ainda não causou acidentes mais graves.”	Esta habilidade amplia a (EF89LP16). Além de identificar recursos empregados em textos dos gêneros citados que representam valores e posições, abrange modalidades deônticas, como "É proibido pisar na grama", "Saia, agora!", "Se quiser, pode usar o meu carro".  Envolve reconhecer os recursos linguísticos empregados nesses casos, compreender os efeitos de sentido produzidos por eles e analisar a coerência desses efeitos tanto com as intenções de significação pretendidas, quanto com a especificidade do gênero, considerando o campo de atuação, finalidade e espaço de circulação.	Na elaboração do currículo, tal como apontado para a habilidade (EF89LP16), sugere-se que o desenvolvimento se dê tanto por meio da leitura de estudo, quanto das atividades de revisão. A progressão pode se dar: (a) pela complexidade do texto e do gênero; (b) pelo tipo de tratamento didático — por frequentação (aos gêneros/textos) ou para aprofundamento; (c) pelo grau de autonomia do aluno (em colaboração — coletiva, em grupos, em duplas — e de modo autônomo); (d) e, especialmente por se tratar de habilidade que abrange do 6º ao 9º ano, pelo tratamento dado ao conteúdo — mais ou menos complexo, mais ou menos aprofundado, mais ou menos implicado à realidade cotidiana do aluno. Há, aqui, oportunidade de trabalho interdisciplinar com a habilidade (EF67EF09), da Educação Física, no que se refere a compreensão e contribuição com textos normativos e regramentos de convívio que viabilizem a participação de todos na prática de exercícios físicos.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo das práticas de estudo e pesquisa	Leitura	Reconstrução das condições de produção e recepção dos textos e adequação do texto à construção composicional e ao estilo de gênero	EF69LP29	Refletir sobre a relação entre os contextos de produção dos gêneros de divulgação científica – texto didático, artigo de divulgação científica, reportagem de divulgação científica, verbete de enciclopédia (impressa e digital), esquema, infográfico (estático e animado), relatório, relato multimidiático de campo, podcasts e vídeos variados de divulgação científica etc. – e os aspectos relativos à construção composicional e às marcas linguística características desses gêneros, de forma a ampliar suas possibilidades de compreensão (e produção) de textos pertencentes a esses gêneros.	Esta habilidade promove o desenvolvimento de capacidades de leitura relativas à compreensão e apreciação dos textos, considerando o contexto de produção de textos de divulgação científica: interlocutores envolvidos, intencionalidades relativas ao gênero selecionado e apreciações implícitas e explícitas sobre o tema tratado, observáveis pela análise dos recursos das linguagens utilizadas. Esta habilidade favorece habilidades de produção de textos dessa esfera.	Na elaboração do currículo, para desenvolver esta habilidade, é altamente recomendável envolver diferentes áreas de conhecimento, uma vez que cada uma delas possui terminologia e recursos linguísticos próprios. Ler um infográfico de uma reportagem sobre uma descoberta arqueológica, por exemplo, é diferente de ler um texto do mesmo gênero sobre a variação do IDH ou do custo de vida de uma determinada localidade ao longo de um período específico. O fato de a natureza dos conhecimentos ser diversa, no exercício de uma inferência, por exemplo, leva o aluno a analisar (na leitura) ou mobilizar (na produção) recursos de linguagens comumente usados nas diferentes áreas de conhecimentos.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo das práticas de estudo e pesquisa	Leitura	Relação entre textos	EF69LP30	Comparar, com a ajuda do professor, conteúdos, dados e informações de diferentes fontes, levando em conta seus contextos de produção e referências, identificando coincidências, complementaridades e contradições, de forma a poder identificar erros/imprecisões conceituais, compreender e posicionar-se criticamente sobre os conteúdos e informações em questão.	A habilidade implica mobilizar/desenvolver estratégias e ferramentas de curadoria: busca e seleção de fontes confiáveis, uso de recursos de apoio à compreensão — como tomada de notas, produção de esquemas etc. —, bem como análise das informações e generalizações, visando à formulação de apreciações éticas e estéticas expressas em textos de gêneros diversos (comentários, reportagens de divulgação, resenhas críticas etc.).	Na elaboração do currículo, é importante considerar que, no campo das práticas de estudo e pesquisa, comparar informações entre diferentes fontes é essencial para o desenvolvimento das diversas dimensões do pensamento científico. O trabalho com projetos integrados interdisciplinares poderá potencializar o desenvolvimento dessas dimensões. É possível propor a progressão no grau de ajuda dada pelo professor (com vistas à construção da autonomia do aluno) e na complexidade do que comparar (quantidade e tipos de fontes, tipos de gêneros a comparar — dos predominantemente verbais aos multimidiáticos), que procedimentos, estratégias e ferramentas usar, considerando os gêneros selecionados para o ano, e em que gêneros os alunos tecerão suas apreciações a cada ano.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo das práticas de estudo e pesquisa	Leitura	Apreciação e réplica	EF69LP31	Utilizar pistas linguísticas – tais como “em primeiro/segundo/terceiro lugar”, “por outro lado”, “dito de outro modo”, isto é”, “por exemplo” – para compreender a hierarquização das proposições, sintetizando o conteúdo dos textos.	A observação das pistas linguísticas referidas na habilidade pode favorecer a percepção das informações, ideias e/ou argumentos que o autor considera mais relevantes, bem como a identificação de ideias centrais e periféricas, orientando na produção de resumos, esquemas, gráficos etc.	Na elaboração do currículo, é necessário considerar que, embora esta habilidade figure no campo das práticas de estudo e pesquisa, na BNCC, também é requerida na leitura de textos de outros campos, em especial os dissertativo-argumentativos. Nesse sentido, pode-se propor o seu desenvolvimento do sexto ao nono ano. A articulação com a leitura de gêneros e textos de graus crescentes de complexidade pode ser um bom critério para a progressão curricular.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo das práticas de estudo e pesquisa	Leitura	Estratégias e procedimentos de leitura Relação do verbal com outras semioses Procedimentos e gêneros de apoio à compreensão	EF69LP32	Selecionar informações e dados relevantes de fontes diversas (impressas, digitais, orais etc.), avaliando a qualidade e a utilidade dessas fontes, e organizar, esquematicamente, com ajuda do professor, as informações necessárias (sem excedê-las) com ou sem apoio de ferramentas digitais, em quadros, tabelas ou gráficos.	A habilidade implica mobilizar/desenvolver estratégias e ferramentas de curadoria: busca e seleção de fontes confiáveis, uso de recursos de apoio à compreensão — como tomada de notas, produção de esquemas etc. —, bem como análise das informações e generalizações, visando à formulação de apreciações éticas e estéticas expressas em textos de gêneros diversos (comentários, reportagens de divulgação, resenhas críticas etc.).	Na elaboração do currículo, é importante levar em conta que, no campo das práticas de estudo e pesquisa, comparar informações entre diferentes fontes é essencial para o desenvolvimento das diversas dimensões do pensamento científico. O trabalho com projetos integrados interdisciplinares poderá potencializar o desenvolvimento dessas dimensões. É possível prever a progressão no grau de ajuda dada pelo professor (com vistas à construção da autonomia do aluno) e na complexidade do que comparar (quantidade e tipos de fontes, tipos de gêneros a comparar — dos predominantemente verbais aos multimidiáticos), que procedimentos, estratégias e ferramentas usar, considerando os gêneros selecionados para o ano, e em que gêneros os alunos tecerão suas apreciações a cada ano.Há, aqui, oportunidade para o trabalho interdisciplinar com a habilidade (EF06LI09), no que se refere a identificar informações precisas em textos.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo das práticas de estudo e pesquisa	Leitura	Estratégias e procedimentos de leitura Relação do verbal com outras semioses Procedimentos e gêneros de apoio à compreensão	EF69LP33	Articular o verbal com os esquemas, infográficos, imagens variadas etc. na (re)construção dos sentidos dos textos de divulgação científica e retextualizar do discursivo para o esquemático – infográfico, esquema, tabela, gráfico, ilustração etc. – e, ao contrário, transformar o conteúdo das tabelas, esquemas, infográficos, ilustrações etc. em texto discursivo, como forma de ampliar as possibilidades de compreensão desses textos e analisar as características das multissemioses e dos gêneros em questão.	Esta habilidade supõe relacionar as partes verbais (texto verbal), não-verbais (imagens) e híbridas (imagens e textos verbais de um infográfico, por exemplo) que compõem um texto de divulgação, identificando a relação de sentidos que estabelecem entre as partes. Um gráfico, por exemplo, pode complementar uma informação dada pelo texto escrito, ou um esquema ou uma ilustração podem exemplificar a informação verbal. Também supõe o uso dessas linguagens não-verbais como formas de "retextualizar" o dito verbalmente. Ou seja, sugere um trabalho em que o aluno "transforme" em gráfico, por exemplo, um texto verbal e vice-versa, o que possibilita se apropriar de diferentes formas de dizer o que pretende recorrendo a diferentes linguagens.	Na elaboração do currículo, é recomendável propor uma progressão para estudo das formas de retextualizar, definindo, por exemplo a retextualização de tabelas e gráficos simples, para depois passar para gráficos e infográficos mais complexos. Pode-se iniciar com exercícios pequenos de retextualização de tabelas e depois de infográficos simples que compõem reportagens de divulgação para textos escritos, de modo a integrá-los na reportagem apenas na linguagem verbal e vice-versa. Esse exercício pode ir se complexificando ao longo dos anos, tanto em relação à quantidade de informação concentrada em um infográfico quanto na complexidade dos textos selecionados para a leitura. Como se trata de lidar com textos de divulgação científica, um desenvolvimento articulado com as diferentes áreas de conhecimento pode potencializar as aprendizagens do aluno.
Língua Portuguesa	6º; 7º; 8º; 9º	Campo das práticas de estudo e pesquisa	Leitura	Estratégias e procedimentos de leitura Relação do verbal com outras semioses Procedimentos e gêneros de apoio à compreensão	EF69LP34	Grifar as partes essenciais do texto, tendo em vista os objetivos de leitura, produzir marginálias (ou tomar notas em outro suporte), sínteses organizadas em itens, quadro sinóptico, quadro comparativo, esquema, resumo ou resenha do texto lido (com ou sem comentário/análise), mapa conceitual, dependendo do que for mais adequado, como forma de possibilitar uma maior compreensão do texto, a sistematização de conteúdos e informações e	Esta habilidade refere-se ao uso de estratégias e procedimentos envolvidos na leitura para estudo (grifar, anotar nas margens etc.) que se desdobram na produção de diferentes tipos de textos, conhecidos na área como "gêneros de apoio à compreensão" (resumos, quadros, esquemas, resenhas, paráfrases etc.). As operações envolvidas na produção de um resumo a partir de uma artigo científico, por exemplo, são resultado de um exercício de retextualização.	Na elaboração do currículo, é recomendável propor uma progressão tanto para o ensino e a aprendizagem de procedimentos de leitura para estudo e das formas de retextualizar o que se lê (com a produção dos gêneros de apoio à compreensão) quanto para a complexidade dos textos selecionados para a leitura.
